MUESTRA;CE;P;T;pH;SiO2;Mg+2;Ca+2;Na+;K+;Fe2+;HCO3-;Cl-;SO4-2;NO3-;NO2-;SDT;SST;SSV;ST
M-33130;55;60;29;5.96;36.6;2;2;7;1.2;0.05;24;2.8;0.4;2.4;0.05;78;2.5;2.5;80
M-33208;226;12;30;6.86;82;5;20;8.7;3.9;0.4;86;4.7;2.8;0.1;0.1;192;11;5;203
M-33210;162;120;28.79;6.98;63;3;6;10.1;2;0.2;50;0.5;1.1;0.9;0.1;120;5;5;120
M-33211;380;298;30.96;8.3;38;2;8;41.4;1.5;0.1;117;0.1;0.1;0.1;0.1;155;5;5;155
M-33216;223;100;28.41;6.54;60;2;9;7.1;3.1;0.1;54;1.6;1.8;1.6;0.1;123;5;5;123
M-33365;282;68;28.44;6.54;60;8;21;11.7;4.2;0.1;95;2;16.9;0.1;0.1;194;5;5;194
M-33369;226;25;29;7.36;48;6;32;5.5;3;0.1;117;3.4;0.4;0.1;0.1;180;8;5;188
M-33117;4.14;9;29;7.1;50.5;8;62;5.9;3;0.05;216;3.4;1.5;0.05;0.05;290;2.5;2.5;290
M-33118;243;7;29;6.78;69.3;8;24;5.8;2.7;0.5;108;3.8;0.05;0.05;0.05;266;35;2.5;301
M-33119;204;12;29;7.03;75.6;7;21;7.3;2.1;0.5;88;3.8;4.9;0.05;0.05;195;13;2.5;208
M-33212;324;365;33;7.76;54;4;9;14;2.4;0.6;87;0.5;0.3;0.1;0.1;134;5;5;134
M-33222;212;72;27.59;6.89;93;8;13;10.6;5.6;0.8;108;0.3;0.7;0.1;0.1;207;5;5;207
M-33367;126;7;28.3;5.52;6;2;8;4.1;2.9;0.1;23;12.2;0.4;7.1;0.1;79;5;5;79
M-33625;211;365;29;8.33;35;1;6;42.213;1.613;0.05;124;0.5;0.5;0.05;0.05;153;2.5;2.5;153
M-33134;72.7;7;29;6.19;9.1;1;9;3.7;1.1;0.05;24;4.3;0.9;3.7;0.05;55;7;2.5;62
M-33237;41;80;28.63;4.4;11;1;1;0.8;0.5;0.1;0;1.1;0.2;7.3;0.1;32;5;5;32
M-33243;135.7;80;27.8;6.7;87;5;9;8.1;4.6;0.4;74;0.3;0.2;0.1;0.1;171;5;5;171
M-33361;189;80;27.66;6.44;98;6;13;10.9;3.3;0.3;81;0.3;0.5;0.1;0.1;119;5;5;119
M-33364;316;68;28.29;6.89;84;4;13;10.3;4.3;0.1;79;0.3;0.2;0.1;0.1;172;5;5;172
M-33616;144.1;68;29;7.89;70.2;5;11;8.9579;4.2105;0.7889;74;0.237;0.39;0.05;0.05;183;2.5;2.5;183
M-33595;125.9;80;29;6.94;73.5;4;8;7.997;4.8954;0.4329;63;0.2;0.5;0.05;0.05;169;10;2.5;179
M-33097;67;3;29;5.99;97.5;0.5;2;10.4;0.4;0.05;35;0.8;1.6;0.05;0.05;185;9;2.5;194
M-33129;26;60;29;4.38;11;1;0.5;0.6;0.13;0.2;0.5;0.5;0.2;4.3;0.05;24;2.5;2.5;27
M-33221;181;105;28.68;7.3;69;4;12;10.8;3.8;0.1;77;1.6;0.6;1.5;0.1;170;5;5;170
M-33362;114.3;64;29;7.21;46;4;10;8.7;4.4;0.9;61;0.2;1;0.1;0.1;232;5;5;232
M-33430;314;6;29;4.12;;2;3;22.5;2.2;0.1;3;20.6;1.4;35.7;0.1;150;5;5;155
M-33098;55;40;29;6.56;11.5;2;3;4.2;1.9;0.05;36;1.4;0.3;0.4;0.05;73;2.5;2.5;75
M-33122;120.9;64;29;6.73;66;5;7;8.5;3.4;0.7;63;0.2;0.8;0.05;0.05;156;2.5;2.5;156
M-33125;81.2;6;29;5.94;10;2;7;3.9;1.9;0.14;20;8.9;3.2;3.8;0.05;64;2.5;2.5;66
M-33132;74.7;7;29;6.36;2.5;4;11;1;1.5;0.14;26;1.7;1.1;11.7;0.05;61;2.5;2.5;63
M-33133;40.34;40;29;5.17;5.1;2;2;1.1;0.6;0.1;2;2.2;0.3;9.2;0.05;19;109;12;128
